arriveSn,busStopId,remainStop,shortLineName,busId,metroFlag,busStopName,currStopId,lineId,remainMin,dirStart,dir,lowBus,arriveFlag,lineName,lineKind
1,2513,0,첨단192,,0,동원촌,0,79,0,,0,,0,첨단192,0
2,2513,0,첨단20,,0,동원촌,0,11,0,,0,,0,첨단20,0
3,2513,0,마을700,,0,동원촌,0,203,0,,0,,0,마을700,0
4,2513,0,임곡91,,0,동원촌,0,61,0,,0,,0,임곡91,0
5,2513,0,첨단92,,0,동원촌,0,62,0,,0,,0,첨단92,0
6,2513,0,첨단94,,0,동원촌,0,64,0,,0,,0,첨단94,0
7,2534,0,첨단193,,0,첨단1동행정복지센터,0,80,0,,0,,0,첨단193,0
8,2534,0,매월16,,0,첨단1동행정복지센터,0,7,0,,0,,0,매월16,0
9,2534,0,마을700,,0,첨단1동행정복지센터,0,203,0,,0,,0,마을700,0
10,2534,0,첨단30,,0,첨단1동행정복지센터,0,17,0,,0,,0,첨단30,0
11,2534,0,문흥39,,0,첨단1동행정복지센터,0,90,0,,0,,0,문흥39,0
12,2534,0,첨단94,,0,첨단1동행정복지센터,0,64,0,,0,,0,첨단94,0
13,2534,0,첨단40,,0,첨단1동행정복지센터,0,92,0,,0,,0,첨단40,0
14,2534,0,운림51,,0,첨단1동행정복지센터,0,26,0,,0,,0,운림51,0
15,196,0,첨단193,,0,남계(장성),0,80,0,,0,,0,첨단193,0
16,3447,0,진곡196,,0,싸이클경기장,0,81,0,,0,,0,진곡196,0
17,3447,0,나주160,,0,싸이클경기장,0,542,0,,0,,0,나주160,0
18,3447,0,나주600,,0,싸이클경기장,0,561,0,,0,,0,나주600,0
19,3447,0,나주601,,0,싸이클경기장,0,562,0,,0,,0,나주601,0
20,3447,0,나주602,,0,싸이클경기장,0,521,0,,0,,0,나주602,0
21,3026,0,충효187,,0,산수무등파크,0,78,0,,0,,0,충효187,0
22,3026,0,충효188,,0,산수무등파크,0,121,0,,0,,0,충효188,0
23,3026,0,1187-1,,0,산수무등파크,0,97,0,,0,,0,1187-1,0
24,3026,0,1187,,0,산수무등파크,0,87,0,,0,,0,1187,0
25,3026,0,두암81(무등파크.장등동),,0,산수무등파크,0,130,0,,0,,0,두암81(무등파크.장등동),0
26,3026,0,두암81(무등파크.장등마을),,0,산수무등파크,0,106,0,,0,,0,두암81(무등파크.장등마을),0
27,3400,0,송정99,,0,구야촌,0,69,0,,0,,0,송정99,0
28,3498,0,임곡290,,0,노동,0,84,0,,0,,0,임곡290,0
29,3498,0,임곡290,,0,노동,0,84,0,,0,,0,임곡290,0
30,2217,0,대촌71,,0,월성,0,42,0,,0,,0,대촌71,0
31,2217,0,대촌270,,0,월성,0,83,0,,0,,0,대촌270,0
32,2217,0,송정99,,0,월성,0,69,0,,0,,0,송정99,0
33,1666,0,나주600,,0,평동초교,0,561,0,,0,,0,나주600,0
34,1666,0,나주601,,0,평동초교,0,562,0,,0,,0,나주601,0
35,1666,0,송정96,,0,평동초교,0,66,0,,0,,0,송정96,0
36,1666,0,송정97(봉정행),,0,평동초교,0,132,0,,0,,0,송정97(봉정행),0
37,1666,0,송정97,,0,평동초교,0,93,0,,0,,0,송정97,0
38,2778,0,첨단09,,0,북성중,0,5,0,,0,,0,첨단09,0
39,2778,0,518,,0,북성중,0,86,0,,0,,0,518,0
40,2778,0,일곡38,,0,북성중,0,20,0,,0,,0,일곡38,0
41,2778,0,첨단95,,0,북성중,0,65,0,,0,,0,첨단95,0
42,2778,0,운림51,,0,북성중,0,26,0,,0,,0,운림51,0
43,3897,0,송암68,,0,송화마을3단지,0,111,0,,0,,0,송암68,0
44,3897,0,진월75,,0,송화마을3단지,0,100,0,,0,,0,진월75,0
45,3897,0,봉선76,,0,송화마을3단지,0,47,0,,0,,0,봉선76,0
46,3897,0,첨단95,,0,송화마을3단지,0,65,0,,0,,0,첨단95,0
47,3897,0,금남55,,0,송화마을3단지,0,30,0,,0,,0,금남55,0
48,3897,0,금남59,,0,송화마을3단지,0,34,0,,0,,0,금남59,0
49,71,0,첨단192,,0,동원촌,0,79,0,,0,,0,첨단192,0
50,71,0,첨단20,,0,동원촌,0,11,0,,0,,0,첨단20,0
51,71,0,마을700,,0,동원촌,0,203,0,,0,,0,마을700,0
52,71,0,임곡91,,0,동원촌,0,61,0,,0,,0,임곡91,0
53,71,0,첨단92,,0,동원촌,0,62,0,,0,,0,첨단92,0
